,ENTIDAD,NOM_ENT,POBTOT,POBFEM,POBMAS,P_0A2,P_3A5,P_6A11,P_12A14,P_15A17,POB15_64,P_60YMAS,PNACOE,PNACOE_F,PRESOE15,PCON_DISC,P15YM_AN,PE_INAC,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PSINDER,PDER_IMSS,PDER_SEGP,PAFIL_IPRIV,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,POBHOG,PHOGJEF_F,VIVTOT,PROM_OCUP,PRO_OCUP_C,VPH_1DOR,VPH_C_ELEC,VPH_AGUADV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_DRENAJ,VPH_REFRI,VPH_LAVAD,VPH_BICI,VPH_TV,VPH_PC,VPH_CEL,VPH_INTER,VPH_SPMVPI
552778,13,Hidalgo,60421,31555,28866,3099,3160,6949,3606,3402,38652,7038,6295,3541,1393,2804,3562,18283,28358,11416,16942,431,24705,10000,23535,97,55102,1993,57,3210,16085,4726,60397,15345,21130,3.75,1.02,5685,15922,15546,13813,2417,14655,14922,13114,9144,4729,14578,2857,13733,4860,849
553383,13,Hidalgo,12967,6690,6277,590,636,1407,695,632,8049,2177,1649,920,630,844,775,4554,5521,2077,3444,212,3961,1159,7400,18,11020,966,11,955,3887,1176,12961,3460,6109,3.33,0.94,1279,3737,3772,3130,469,3246,3307,2834,1737,400,3375,425,3086,808,57
553465,13,Hidalgo,22903,11641,11262,1280,1351,2792,1408,1297,13690,3152,6251,3280,549,1485,2177,7744,9527,2954,6573,128,4516,722,16511,47,20158,2014,4,719,6256,1486,22861,4491,8362,3.65,1.01,2597,6117,5900,5171,1835,5326,5911,4486,3498,137,5001,849,4644,869,56
553553,13,Hidalgo,18909,9719,9190,823,1002,2161,1002,1042,12146,2504,1420,837,490,1332,1042,5084,9728,4192,5536,72,6330,1734,9605,37,15645,1836,93,1332,5158,1468,18891,4625,7355,3.66,0.97,1504,5039,4985,4288,921,4512,4706,3963,2252,1735,4118,831,4171,828,87
553673,13,Hidalgo,2593,1354,1239,84,109,255,130,104,1520,653,165,90,62,274,235,1351,780,226,554,6,532,109,1855,*,2253,144,0,192,847,238,2593,597,1455,3.06,0.88,309,841,827,600,95,797,828,646,450,59,652,86,520,94,*
553782,13,Hidalgo,15175,7837,7338,618,741,1547,846,812,9947,2087,5487,2909,802,946,399,4769,7227,3032,4195,238,3880,7124,3298,167,12326,1035,66,1728,4158,1191,15159,3709,5026,3.65,0.88,1227,4114,4125,3712,385,4106,4112,3614,3067,1912,3938,1281,3670,1629,421
553987,13,Hidalgo,16285,8406,7879,579,762,1623,905,928,10917,2128,2546,1395,678,844,507,5369,7693,3099,4594,220,5795,4632,4584,121,12681,1041,27,2499,4834,1664,16285,5093,6663,3.37,0.91,1417,4760,4643,4249,1217,4530,4652,4079,3130,1091,4391,1284,4222,1680,352
554110,13,Hidalgo,36248,18952,17296,1229,1714,3760,1951,1863,24168,4966,2753,1598,702,1516,1280,11461,17526,7627,9899,465,10635,3649,14684,86,28025,4647,173,3380,9700,2894,36219,9503,12629,3.73,0.93,2186,9615,9574,7760,1391,9324,9453,7914,5862,6122,8517,3128,8132,3751,661
554416,13,Hidalgo,17607,9288,8319,935,989,2174,1021,933,10860,2271,1527,890,411,1025,927,5039,8322,3552,4770,95,6033,1211,9828,39,15035,1502,9,1026,4744,1480,17601,4688,6724,3.71,0.99,1505,4680,4641,4061,1362,4159,4225,4117,2985,959,4157,764,4142,1056,169
554442,13,Hidalgo,20673,10812,9861,818,970,2214,1246,1196,11720,4671,2109,1211,699,1965,2569,7617,8933,3180,5753,69,2988,1945,12304,349,18745,1215,18,673,5541,1457,20661,4150,7118,3.73,0.87,1674,5461,3522,1943,1042,2419,3598,4265,890,231,4147,546,3697,453,42
554618,13,Hidalgo,12766,6571,6195,610,701,1565,910,865,7588,1854,489,283,331,922,1609,5129,4690,1358,3332,38,1263,531,10373,70,11133,1316,5,298,3035,619,12764,1979,3577,4.21,1.13,1020,2983,2981,851,214,2431,2699,1867,376,65,2291,302,1945,539,10
554644,13,Hidalgo,22846,11830,11016,1163,1256,2656,1453,1457,13661,3578,1695,957,401,1468,4257,7453,10118,3694,6424,135,2894,322,18736,8,16434,4076,0,2334,6266,1785,22705,5372,8538,3.62,1.19,3065,6036,4817,2670,1164,4585,5316,2775,1199,164,4178,504,3054,443,27
554712,13,Hidalgo,126781,65460,61321,6775,7154,15652,8044,7325,77907,16169,11810,6381,3198,6858,14527,40515,55725,21342,34383,490,23699,19633,62754,1274,112317,10133,190,3912,31513,7842,126713,26290,41088,4.02,1.12,10819,31177,29310,17077,10013,25994,28513,25385,9713,2405,25525,6452,22982,7005,1246
555984,13,Hidalgo,47425,24645,22780,2025,2581,5018,2458,2534,30672,6597,11357,6044,1797,3485,1732,15176,22068,8891,13177,411,13451,12136,18753,270,41065,2812,28,3484,12880,3786,47319,12266,17933,3.67,0.97,3703,12709,12599,10191,1965,11356,11544,11166,7978,2923,11832,3162,10750,3714,627
556529,13,Hidalgo,98654,52214,46440,4816,5121,11011,5580,5143,64587,11218,8007,4433,2048,5544,4524,23900,53008,24611,28397,544,37186,8549,41992,288,73203,18327,169,6874,26586,8942,98223,28875,36676,3.69,0.96,7473,26260,25937,20915,4858,23805,25042,22213,13780,8699,22609,6863,22797,8464,1501
557302,13,Hidalgo,12290,6430,5860,503,563,1301,659,593,7647,2173,945,531,185,846,1054,4503,5341,1969,3372,41,1662,476,9192,12,10168,1237,4,879,3744,1258,12211,3676,5881,3.26,0.87,1279,3694,3237,3013,1614,3229,3472,3169,2656,91,3221,685,2798,858,83
557447,13,Hidalgo,10523,5385,5138,446,572,1194,644,599,6412,1713,677,332,212,600,1747,3699,4511,1695,2816,64,1136,890,6920,132,9601,685,9,220,2667,835,10243,2793,3584,3.84,1.1,899,2633,2565,1048,787,2332,2468,2168,548,159,2077,331,1785,199,26
557628,13,Hidalgo,2895,1525,1370,86,143,297,175,161,1718,584,270,151,80,309,267,1502,842,190,652,16,738,91,1656,11,2622,161,0,104,955,261,2895,598,1472,3.03,0.83,364,940,933,529,185,832,885,579,513,23,705,103,703,242,3
557725,13,Hidalgo,9474,4897,4577,498,564,1114,565,554,5537,1617,1070,602,215,881,935,3755,3435,1095,2340,71,1701,757,6302,27,8198,869,4,398,2603,606,9474,1696,3491,3.64,1.04,1079,2554,2221,1279,267,2140,2402,1826,941,50,1961,235,1657,118,21
557762,13,Hidalgo,13078,6893,6185,700,712,1600,831,746,8251,1455,1149,677,307,685,660,4123,5837,2200,3637,77,5788,1603,5245,31,11921,345,13,798,3272,777,13077,2516,4265,4,1.1,1083,3218,3189,2776,475,2791,2941,2655,2039,992,2996,514,2820,693,96
557819,13,Hidalgo,9449,4867,4582,326,406,903,505,520,6086,1675,962,558,199,613,403,3660,4029,1401,2628,76,3075,868,5025,55,8443,365,7,631,2834,713,9436,1969,3906,3.33,0.93,1117,2785,2783,2224,284,2358,2551,2320,1767,253,2401,357,2098,501,63
557882,13,Hidalgo,20962,10888,10074,842,971,2128,1133,1069,13180,3591,1520,838,412,1517,1670,7265,9487,3595,5892,171,6998,1103,11523,30,18310,1070,3,1563,6233,1748,20941,4772,9490,3.36,1,2568,6083,5655,4466,1186,4939,5627,4655,3279,1593,4837,730,4310,1324,136
558022,13,Hidalgo,8878,4577,4301,399,506,1008,503,476,5665,1091,812,470,167,552,559,2406,4472,1907,2565,49,3219,1046,4229,31,6926,1011,5,913,2533,761,8869,2310,3657,3.5,0.96,934,2441,2342,2008,677,2202,2243,1783,1379,215,2010,481,2086,632,113
558072,13,Hidalgo,14324,7507,6817,501,632,1363,792,727,9752,1914,890,489,222,1034,338,4831,6838,2878,3960,138,5137,4476,3337,152,12236,981,20,1061,3688,1339,14324,4813,4815,3.88,0.94,1056,3666,3295,3270,833,3529,3598,3155,2613,261,3474,1221,3283,1584,411
558328,13,Hidalgo,9819,5062,4757,431,505,1094,569,523,5874,1802,594,352,147,884,1392,3800,3921,1040,2881,48,1145,166,8195,3,8926,597,0,295,2929,780,9816,2235,4256,3.35,0.95,1243,2886,1980,2092,1138,2185,2542,2153,1698,45,2252,239,2144,280,16
558348,13,Hidalgo,47222,24597,22625,1744,2254,5046,2476,2443,31742,5783,3897,2192,1019,2665,1333,13560,24016,10533,13483,477,12763,6559,21600,159,38198,4758,539,3693,12703,4286,47120,14324,15631,3.71,0.96,3029,12581,12540,10506,2107,12215,12470,10547,7745,6830,11516,3867,10774,4868,838
558701,13,Hidalgo,11578,5893,5685,460,614,1335,650,688,6985,1998,800,449,260,977,789,4007,4972,1784,3188,167,1695,776,7356,152,9807,1086,0,678,3336,807,11418,2139,4870,3.42,0.92,1288,3254,3193,2318,531,3093,3228,2405,1700,87,2675,595,2681,758,52
558843,13,Hidalgo,6265,3229,3036,272,336,735,408,370,3710,1060,314,205,126,503,471,2509,2292,899,1393,109,1106,276,4641,*,4524,1094,*,634,1755,504,6142,1450,2624,3.5,0.97,674,1716,1660,1182,125,1139,1401,1144,605,47,1049,219,1132,422,36
558875,13,Hidalgo,16948,8711,8237,830,806,1616,816,850,10618,3064,5041,2709,997,1469,926,5339,8209,3229,4980,120,4405,2098,9769,33,15065,742,46,1078,5145,1609,16948,4726,7434,3.29,0.89,1899,5025,4910,4121,1787,4259,4278,4139,3054,1275,4541,845,4305,799,114
558927,13,Hidalgo,9295,4873,4422,389,458,1077,557,519,6008,1184,669,408,183,477,422,3054,4216,1641,2575,85,3505,1579,3833,62,8139,657,7,491,2506,697,9295,2158,3415,3.71,0.95,808,2490,2448,2175,444,2238,2248,2087,1598,340,2226,499,2140,546,91
558970,13,Hidalgo,38492,19764,18728,1951,2161,4604,2553,2265,22882,6142,6801,3735,1674,2654,5743,12929,16507,5364,11143,181,8939,1873,24863,36,31121,5928,45,1377,10227,2425,38469,7885,13448,3.76,1,3578,10087,9953,4660,1077,8444,9264,8457,2912,1365,8292,1324,7037,1160,149
559426,13,Hidalgo,4748,2518,2230,192,264,534,246,221,2808,906,303,174,63,432,572,2259,1436,431,1005,50,1364,111,3181,0,4225,293,0,223,1430,439,4748,1198,2474,3.32,0.96,630,1399,1099,1094,489,1018,1182,1141,970,35,1156,150,886,440,13
559496,13,Hidalgo,314331,164772,149559,10953,13716,26104,14184,15212,218928,42791,72611,38694,17798,15372,4999,94224,163010,75178,87832,3549,99443,110398,44792,6492,227832,38295,1092,44279,93242,34788,311788,106143,124339,3.34,0.75,19693,92284,90722,83111,35136,91923,92209,84741,70678,15019,88026,51622,87562,62466,26104
566171,13,Hidalgo,18723,9614,9109,1308,1521,2522,1302,1110,10257,2428,5638,2870,670,1215,1796,5938,7349,2490,4859,45,3091,347,14578,32,15929,2135,5,645,4878,1392,18711,4683,6267,3.84,1.04,1916,4765,4450,2865,547,3844,4401,3294,2613,129,3711,535,3406,579,42
566268,13,Hidalgo,23641,12476,11165,932,1190,2381,1128,1213,15802,3211,2431,1387,567,1198,598,7413,11416,5038,6378,247,7674,3814,8634,363,18959,2790,132,1732,6308,2270,23627,7619,8031,3.75,0.94,1563,6231,6192,5497,1954,6136,6199,5413,3988,3515,5736,2243,5436,2591,604
566553,13,Hidalgo,202749,106490,96259,6967,9327,19681,10251,10499,145508,17477,62210,32949,18876,8961,1908,56846,106872,49871,57001,2359,59328,86590,23712,2129,144451,24432,635,32486,63885,22708,202597,64714,97588,3.17,0.78,13268,63611,63116,53151,15771,63451,63559,59120,48522,10341,60491,34915,61587,43437,17124
569678,13,Hidalgo,38891,19941,18950,1421,1872,4090,2117,2139,26148,4653,8062,4357,2003,2516,1185,11297,19623,8274,11349,472,15445,8308,12378,251,32358,2858,67,3573,10401,2973,38876,9867,14153,3.74,0.97,3084,10240,9791,8635,4993,9493,9735,8447,6614,1941,9341,3063,9231,3959,1097
570077,13,Hidalgo,17699,8962,8737,763,832,2098,1189,1198,10756,2683,717,414,298,1259,3427,5505,8322,3182,5140,134,1855,268,13475,7,15734,1204,4,748,5001,1419,17604,4057,6739,3.52,1.21,2700,4725,4477,2453,625,3602,4142,2140,1121,42,3157,469,2509,652,40
570162,13,Hidalgo,36796,18927,17869,1387,1782,4162,1958,2028,24031,4991,2987,1686,879,1926,1261,10642,18387,7825,10562,352,10666,4517,18025,30,30628,3621,59,2478,9807,2888,36749,9357,12948,3.75,0.98,2681,9702,9662,7221,689,9125,9334,7754,5206,5335,8208,2160,8021,2880,376
570316,13,Hidalgo,18329,9383,8946,773,1002,2059,965,983,11835,2383,1848,1052,406,1061,727,5194,9052,3862,5190,182,4673,2003,10742,24,15711,1628,30,953,5050,1458,18329,4469,7041,3.63,0.97,1659,4968,4951,3767,441,4302,4638,3909,2585,1965,4106,903,4310,1141,142
570581,13,Hidalgo,39561,20915,18646,1700,1947,4268,2183,2212,26576,4317,5879,3261,1108,1382,1345,12096,19188,8344,10844,261,15106,11756,9269,672,31468,3487,56,4501,11135,3742,39545,11786,14169,3.55,0.92,3197,11079,10707,10090,2747,10766,10939,9634,7623,2912,10501,3502,10140,4941,1310
571117,13,Hidalgo,15142,7763,7379,691,811,1705,905,847,9624,1956,1048,630,216,689,881,5424,6314,2155,4159,172,7167,2087,4977,165,13437,512,*,1178,4096,1155,15140,3777,5367,3.7,1.02,1399,4048,3800,3585,1190,3530,3846,3346,2404,1045,3676,542,3494,632,87
571221,13,Hidalgo,17441,9295,8146,702,859,1828,917,938,11217,2650,1407,795,412,1205,1016,6086,7747,3341,4406,139,5355,1088,9249,21,13684,2013,3,1728,5096,1830,17427,5511,7953,3.42,0.92,1587,5018,4978,4369,498,4239,4562,4353,2726,1613,4295,952,4016,993,166
