,ENTIDAD,NOM_ENT,POBTOT,POBFEM,POBMAS,P_0A2,P_3A5,P_6A11,P_12A14,P_15A17,POB15_64,P_60YMAS,PNACOE,PNACOE_F,PRESOE15,PCON_DISC,P15YM_AN,PE_INAC,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PSINDER,PDER_IMSS,PDER_SEGP,PAFIL_IPRIV,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,POBHOG,PHOGJEF_F,VIVTOT,PROM_OCUP,PRO_OCUP_C,VPH_1DOR,VPH_C_ELEC,VPH_AGUADV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_DRENAJ,VPH_REFRI,VPH_LAVAD,VPH_BICI,VPH_TV,VPH_PC,VPH_CEL,VPH_INTER,VPH_SPMVPI
585584,13,Hidalgo,38155,20018,18137,2141,2032,4098,2083,2181,25037,3862,3759,2073,900,1825,1891,10870,18751,7919,10832,161,14991,8678,11804,119,29953,5516,14,2637,10594,3349,38103,10574,13346,3.6,1.01,4590,10467,10318,8940,2332,9836,10342,7628,5800,534,8957,2278,8852,2403,410
586139,13,Hidalgo,21443,11101,10342,861,1012,2117,1231,1198,14391,2657,5187,2819,1370,1198,548,6232,10999,4730,6269,182,9018,4967,5557,91,17114,1997,23,2285,5849,1717,21434,5658,7808,3.66,0.95,1827,5806,5596,5201,1834,5729,5767,4959,4018,1627,5515,1778,5291,3112,473
586686,13,Hidalgo,57906,30000,27906,2115,2714,6024,3090,2967,39589,6496,19949,10700,7285,3061,1214,17775,28582,12012,16570,598,20884,19200,8402,1136,44500,5249,125,7948,17477,5344,57886,15370,31807,3.31,0.84,4536,17356,17185,16010,4445,17052,17185,15733,13001,4307,16453,7670,16033,9005,3717
587888,13,Hidalgo,39927,21028,18899,1862,1991,4486,2282,2184,25312,5503,3473,1949,961,2056,1693,14444,16775,6597,10178,285,15016,7768,14107,149,32393,4530,12,2909,10983,3692,39717,11851,15807,3.62,0.95,3457,10800,9985,9488,3771,9401,10021,9380,6698,1317,9631,2460,9227,3508,453
588351,14,Jalisco,23175,11792,11383,1294,1344,2756,1339,1272,14458,2714,594,281,111,995,1191,6225,11441,4465,6976,74,7963,9464,5099,346,22725,201,3,231,6408,2069,23146,6831,8750,3.61,0.99,1808,6382,6184,6000,4678,6326,6337,6135,5811,3743,6158,1617,5801,2877,482
588777,14,Jalisco,25250,12006,13244,1195,1360,2595,2337,1728,15866,2723,2990,771,1950,1103,526,9139,10718,4163,6555,194,6336,15331,2825,137,23000,1512,5,698,6372,1876,23633,6450,7997,3.71,0.95,1814,6346,6292,4854,1339,6321,6307,6046,5254,2366,6102,2326,5924,3361,989
589137,14,Jalisco,23630,11846,11784,1064,1157,2496,1287,1227,15234,3364,1250,553,471,1302,478,6935,11633,4585,7048,77,5203,12665,4270,390,22097,999,10,496,6519,1802,23348,5718,8386,3.58,0.91,1679,6493,6499,5628,2839,6471,6479,6244,5569,4508,6272,2503,5888,2881,864
589538,14,Jalisco,5743,2967,2776,297,322,663,329,280,3488,888,163,89,56,307,147,1959,2444,873,1571,36,1448,807,3024,167,5401,247,3,90,1588,458,5712,1432,2284,3.6,0.98,464,1580,1583,1329,212,1571,1578,1431,1327,185,1424,428,1329,580,81
589615,14,Jalisco,16490,8306,8184,957,892,1923,973,980,10546,1750,656,317,170,961,426,5068,7567,2732,4835,58,5082,7124,3712,170,15580,608,*,287,4213,1096,16441,3832,5097,3.9,1.05,1294,4189,4160,3748,1808,4170,4179,4041,3644,831,4016,1324,3754,2010,484
589833,14,Jalisco,60386,30822,29564,2637,2815,6299,3105,3166,38559,9624,3563,1755,977,3438,1687,19328,28746,11077,17669,321,13885,22972,18722,466,54997,3389,38,1937,17361,4910,59969,15037,23046,3.45,0.87,4706,17289,17240,15077,6063,17152,17204,16746,14754,6864,16436,6369,14923,8802,2222
590616,14,Jalisco,9433,4713,4720,476,513,1042,547,530,5775,1445,581,274,119,358,276,3267,4051,1425,2626,41,1426,3325,4315,38,8951,245,0,235,2665,770,9433,2402,3718,3.54,0.91,818,2651,2649,2230,519,2638,2646,2534,2244,1059,2559,845,2339,956,184
590750,14,Jalisco,80609,41117,39492,4100,4483,8924,4360,4658,52889,8599,4429,2005,1285,3461,3750,21053,41592,16539,25053,246,32187,28193,16448,1510,78498,931,33,1088,22770,7141,80469,22585,29956,3.53,0.95,6063,22662,22518,21579,13009,22563,22570,21499,20236,8148,21798,7816,20911,12114,3255
592006,14,Jalisco,21115,10770,10345,1201,1223,2515,1215,1192,13473,2192,1598,787,484,1000,444,6531,9423,3468,5955,163,6165,10035,3499,508,19954,676,4,461,5681,1420,21114,4553,8977,3.72,0.94,1383,5652,5640,4548,2957,5660,5658,5395,4722,2497,5372,1917,5205,2733,762
592380,14,Jalisco,7758,3911,3847,459,534,1037,499,491,4630,793,115,54,45,263,398,2805,2845,733,2112,59,3864,525,2452,31,7662,70,*,22,1820,418,7758,1611,2641,4.26,1.3,517,1795,1793,1424,262,1780,1787,1444,1182,170,1692,272,1510,631,58
592510,14,Jalisco,5599,2766,2833,279,327,629,289,309,3300,990,104,58,42,326,282,2339,1902,536,1366,59,1384,399,3707,7,5493,62,0,40,1530,387,5599,1243,2314,3.66,1.03,544,1503,1504,1307,221,1451,1462,1367,1167,174,1363,232,1242,314,40
592588,14,Jalisco,4176,2121,2055,167,194,408,204,200,2578,800,220,115,56,257,141,1611,1718,581,1137,28,575,405,2724,151,4001,104,*,70,1311,406,4176,1128,1903,3.19,0.8,399,1302,1306,1131,138,1293,1300,1255,1164,119,1236,358,1165,280,57
592666,14,Jalisco,64009,32438,31571,3672,3630,7171,3367,3404,40743,7731,2301,1029,709,3158,2435,18268,30757,11341,19416,267,18141,22334,20396,1017,62407,895,17,649,17398,5231,63615,17433,21920,3.66,0.99,4830,17346,17277,15921,4432,17185,17168,16727,14785,4102,16641,5363,15506,7853,1920
593460,14,Jalisco,8689,4475,4214,406,413,929,447,448,5366,1505,285,144,110,604,466,2922,3964,1363,2601,25,2006,1443,5068,49,8284,259,0,142,2535,809,8664,2436,3585,3.42,1.03,811,2510,2503,2056,205,2472,2461,2370,2124,1403,2329,523,1932,897,171
593572,14,Jalisco,64931,33045,31886,2934,3173,6906,3473,3308,42227,8793,6183,2965,1611,3080,1634,18743,32567,13467,19100,278,11962,30403,18013,513,58004,3853,21,2971,18887,6440,64464,20737,24636,3.41,0.97,5185,18774,18627,16126,8708,18620,18758,17809,15590,6547,17585,8064,17190,11337,3683
594511,14,Jalisco,41552,21188,20364,2310,2627,5090,2520,2346,25429,4931,7668,3980,624,2284,2298,12317,18787,6791,11996,209,20735,5676,13572,217,40152,818,11,529,10738,3659,41519,13303,14392,3.87,1.12,3305,10697,10680,8701,1874,10607,10623,9980,8701,3664,10120,2302,9061,4312,771
595153,14,Jalisco,12880,6466,6414,599,698,1566,660,639,7703,2190,471,247,113,760,460,4155,5714,2025,3689,81,3189,2017,7096,213,12274,482,0,114,3539,915,12861,2936,5338,3.63,0.94,1036,3508,3513,3145,209,3452,3473,3322,2915,633,3235,968,2911,1299,221
595374,14,Jalisco,67937,35086,32851,3462,3825,7701,3725,3679,42583,9347,4992,2599,843,4420,2539,21550,30714,11584,19130,468,22226,18083,23318,803,65537,1494,9,806,17717,5821,67875,20723,23597,3.83,0.99,4553,17666,17602,14833,7775,17561,17593,16765,14009,9890,16886,5396,15421,8654,1894
596090,14,Jalisco,7043,3541,3502,483,537,1338,447,433,3845,551,914,433,123,441,616,3233,1377,421,956,70,1170,1528,4233,257,3853,63,2059,1065,1617,430,6773,1607,2419,4.19,1.26,754,1308,1352,1005,126,1029,1036,877,638,101,915,251,1211,367,63
596132,14,Jalisco,10940,5296,5644,563,550,1323,675,607,6595,1676,1377,672,363,583,341,3010,5399,2006,3393,57,2096,2782,5704,169,9622,709,0,603,3182,887,10940,2909,4674,3.44,1.14,1229,3061,3031,2008,283,3008,3023,2758,2192,331,2571,514,2555,787,181
596263,14,Jalisco,20548,10354,10194,1054,1132,2239,1097,1055,12742,3198,1848,894,458,1371,858,6429,9544,3517,6027,64,2702,9104,7961,233,18730,1023,9,754,6239,2187,20516,6571,8239,3.29,1,1952,6181,6164,3097,508,6145,6151,5721,5171,1577,5466,1505,5200,2370,503
596665,14,Jalisco,40139,20160,19979,2291,2357,4415,2329,2224,25396,4932,16888,8476,1443,1916,1538,10773,20034,7973,12061,186,11568,10016,16348,391,32948,3561,37,3528,11530,4149,40091,14217,16334,3.48,1.2,4777,11348,11207,7282,2016,11304,11296,10396,8201,3886,10077,2815,10229,4510,1115
597586,14,Jalisco,115141,58953,56188,5050,5344,10826,5471,5575,78440,14744,11046,5012,4693,5086,2386,32414,60159,26424,33735,576,24185,66460,14606,2194,101468,7327,116,6087,31449,11658,113497,39407,38063,3.61,0.99,6951,31365,31253,28579,13244,31276,31333,30009,26340,10927,29844,15338,28642,21061,7009
599088,14,Jalisco,29267,14872,14395,1372,1432,3273,1553,1525,18167,4717,994,496,220,1767,974,9375,13607,5095,8512,143,7189,10536,10380,296,27960,864,0,431,8131,2228,29206,7222,11676,3.59,0.96,2275,8076,8074,7150,3051,7971,8000,7707,6706,3642,7719,2433,7132,3364,547
599500,14,Jalisco,19689,10207,9482,1019,973,1990,989,972,12730,2720,5409,2780,679,1268,481,6375,9150,3714,5436,80,5363,4139,8244,162,18214,735,45,682,5721,1950,19555,5964,8356,3.42,0.84,1736,5689,5680,5477,539,5644,5648,5410,4688,2177,5129,2723,5130,3190,1002
599845,14,Jalisco,6334,3136,3198,302,310,687,319,326,3980,995,442,210,127,316,342,2095,2868,871,1997,21,1470,670,3597,528,6003,225,*,96,1847,463,6325,1344,2916,3.42,0.93,444,1833,1835,1603,485,1823,1824,1704,1590,316,1760,457,1617,1036,128
600104,14,Jalisco,18370,9023,9347,1038,1035,2290,1093,1075,11065,2450,2841,1421,223,954,1525,5542,8335,2945,5390,82,2935,2224,12474,53,17614,392,*,338,4961,1470,18370,4962,6586,3.7,1.33,2038,4653,4769,3091,472,4069,4070,3611,2446,584,3502,561,2577,953,112
600221,14,Jalisco,2166,1109,1057,101,113,202,110,99,1293,452,73,45,13,195,107,893,844,269,575,8,299,179,1620,31,2074,57,0,31,678,166,2165,435,1246,3.19,0.75,163,667,665,624,121,654,647,640,574,139,624,184,574,195,23
600318,14,Jalisco,17820,9165,8655,910,956,1948,971,958,11003,2787,425,230,63,1147,1008,6771,7089,2012,5077,67,4742,972,11531,71,17432,258,0,126,4923,1460,17802,4747,7329,3.62,0.89,1236,4903,4769,4642,1440,4811,4803,4586,4075,1286,4639,926,4309,1597,212
600459,14,Jalisco,55196,28381,26815,2628,2721,5315,2764,2646,33253,11106,3315,1699,607,2428,1069,18134,25882,11296,14586,301,24369,17504,8556,2844,46746,3469,279,4559,16339,6212,54854,19124,22868,3.36,0.87,4859,16245,16227,12308,5314,16222,16181,15650,13701,4113,15498,8353,15073,10384,4053
601436,14,Jalisco,3270,1646,1624,221,199,463,239,183,1748,505,974,479,63,379,261,1475,903,279,624,7,1185,299,1713,4,3196,26,5,37,891,299,3264,958,1332,3.66,1.12,369,808,816,736,145,735,735,611,432,86,619,134,680,167,24
601482,14,Jalisco,5983,3008,2975,392,400,769,355,324,3490,762,106,41,37,213,289,2032,2271,731,1540,84,1082,845,3605,152,5487,402,0,91,1468,355,5983,1248,2187,4.08,1.19,422,1449,1450,1087,86,1410,1425,1191,1027,147,1269,228,1197,130,20
601574,14,Jalisco,21226,10963,10263,1175,1340,2392,1177,1074,12945,3016,4568,2286,321,1071,1040,6913,9073,3224,5849,191,11848,2925,5809,176,20578,371,*,263,5934,1998,21199,6506,9462,3.57,0.97,1878,5905,5859,5468,3198,5834,5801,5638,5131,1102,5554,1557,5019,2427,524
602101,14,Jalisco,1981,974,1007,73,92,186,92,87,1158,492,51,34,23,172,98,829,778,256,522,8,344,151,1385,71,1950,11,0,13,659,186,1954,504,1100,2.97,0.74,188,650,652,553,56,646,646,628,552,75,597,167,530,226,114
602187,14,Jalisco,53039,27472,25567,2787,3070,6083,3029,2838,33370,6677,10933,5466,744,3188,2162,15612,25178,9533,15645,207,17811,15736,17231,684,51911,531,8,558,14385,5178,52995,17769,19519,3.68,0.91,4012,14307,14235,12902,1878,14105,14170,13822,13066,4226,13897,4317,12896,5456,1215
603280,14,Jalisco,20011,10227,9784,1007,1058,2236,1152,1126,12526,2850,933,501,262,1071,387,5886,9708,3854,5854,54,4023,6199,7890,284,19154,543,4,294,5377,1600,19923,5286,6910,3.71,0.95,1449,5358,5352,4690,908,5330,5347,5147,4638,1502,5162,2128,4829,2562,646
603633,14,Jalisco,25920,13294,12626,1245,1328,2861,1386,1250,16409,3742,1887,973,467,1557,660,7237,13096,5418,7678,98,6458,9412,8916,164,23789,1126,15,967,7458,2382,25859,7554,9594,3.47,0.98,2482,7426,7387,6604,1973,7397,7425,7084,6184,3805,6967,2941,6697,4381,1145
604106,14,Jalisco,4199,2045,2154,206,217,420,200,196,2500,816,550,265,53,303,234,1777,1494,386,1108,11,1176,441,2387,45,4042,75,0,58,1270,296,4193,840,2035,3.3,0.9,390,1246,1244,1092,216,1216,1213,1157,1041,75,1109,327,990,419,55
604234,14,Jalisco,1385629,718632,666997,47520,56461,110877,57223,61120,940751,238500,159510,85407,21003,73785,16888,415764,736543,328801,407742,10867,408824,814494,70815,40773,1223063,74955,2102,78500,398543,154930,1379731,502681,454874,3.46,0.81,80655,396620,396574,349242,181962,396484,396624,388261,345498,96888,385061,224114,368856,299970,132481
618469,14,Jalisco,8732,4364,4368,426,492,1090,512,508,5291,1215,694,376,95,410,382,3152,3502,1054,2448,59,1514,968,6133,35,8532,96,0,92,2306,639,8732,2191,3209,3.79,1.09,747,2287,2239,1815,530,2254,2253,2152,1725,117,2134,326,1930,489,43
618639,14,Jalisco,5920,3013,2907,253,288,581,296,290,3526,1242,2065,1069,187,543,223,2510,2260,690,1570,18,1923,588,2975,220,5750,70,0,98,1779,492,5919,1319,3106,3.33,0.78,478,1768,1764,1731,184,1751,1748,1720,1571,574,1636,520,1428,552,101
618832,14,Jalisco,10015,5177,4838,644,670,1256,550,525,5656,1583,2287,1186,406,672,556,3514,3840,1431,2409,55,1815,420,7303,80,9036,519,282,149,2691,810,10000,2676,4341,3.72,0.98,904,2616,2501,2443,874,2480,2501,2287,1868,433,2255,666,2302,455,66
619084,14,Jalisco,23258,11632,11626,1173,1416,2590,1311,1231,14220,3513,5265,2668,537,1833,1050,6359,11527,4477,7050,116,4470,4723,13040,127,21378,1035,22,796,7002,2270,23255,7078,10270,3.32,1.03,2380,6903,6809,4781,1109,6839,6861,6571,5685,2450,6098,1668,5985,2640,569
619342,14,Jalisco,67969,34547,33422,3524,4289,8692,4184,3821,43982,5000,7477,3672,1597,3351,1103,18066,32739,13410,19329,551,20989,38131,5777,456,61151,3361,66,3311,19707,7072,67833,23054,34492,3.44,1.13,8376,19628,19630,7888,2267,19641,19652,17871,13994,4460,18659,5222,18433,9587,2175
620257,14,Jalisco,20465,10489,9976,1134,1124,2406,1180,1059,12421,2992,1028,548,150,1222,901,6462,9107,3141,5966,132,8566,3131,7994,173,19915,347,*,162,5758,1741,20453,5580,8208,3.55,0.93,1785,5699,5574,5272,2431,5655,5649,5464,4785,1302,5442,1390,4921,2055,269
620441,14,Jalisco,32678,16666,16012,1707,1952,3746,1839,1972,20494,4038,1448,679,275,1402,1034,9458,15582,5992,9590,146,14056,9114,8302,465,32005,330,3,314,8931,2909,32536,9334,12314,3.64,0.9,1906,8897,8887,8620,2097,8836,8861,8641,8018,1340,8569,2828,8026,4710,1072
621080,14,Jalisco,24894,12430,12464,1375,1367,2864,1353,1355,15734,3063,1847,881,629,1422,828,7675,11052,4089,6963,171,7237,8773,7162,219,23751,628,6,450,6227,1622,24519,5830,8321,3.94,1.06,1883,6197,6163,5159,850,6176,6179,5908,5179,2961,5917,1672,5389,2913,603
621489,14,Jalisco,18982,10108,8874,1113,1036,2119,1042,1074,11642,2722,1803,897,466,1505,1363,5882,8679,3278,5401,94,8969,4394,4871,220,18480,234,*,250,5419,1498,18930,4393,9309,3.49,0.89,1493,5379,5383,4960,1143,5337,5327,5087,4719,2017,5146,1322,4898,2059,362
621790,14,Jalisco,9425,4372,5053,516,551,1038,508,463,5927,1218,4146,2080,426,612,758,2875,4402,1110,3292,25,3645,213,5124,270,9014,245,15,138,2551,767,8760,2546,3638,3.43,1.08,882,2469,2471,1807,264,2428,2419,2338,2074,322,2101,445,2166,981,109
621848,14,Jalisco,47105,23876,23229,2849,2813,5534,2631,2674,29069,5762,2125,1034,649,2279,1451,12214,23404,9571,13833,168,19215,13547,12349,494,43400,2073,33,1523,11057,3996,46936,16718,16899,4.24,1.18,3214,10979,10904,8506,3347,10922,10944,10318,8545,3101,10463,3381,10142,4856,1311
622487,14,Jalisco,30855,15596,15259,1790,2127,4140,1775,1549,19492,2249,2154,1073,676,1201,435,8431,14056,5477,8579,234,8551,18379,2256,286,28435,1147,9,1234,8701,2718,30845,9059,12428,3.54,1.05,2189,8678,8655,5675,3197,8655,8665,8204,6832,2033,8282,2475,8096,3368,733
622849,14,Jalisco,5534,2865,2669,272,321,677,299,282,3186,1019,129,67,64,280,185,2029,2170,751,1419,34,1025,971,3343,55,5383,105,0,44,1603,494,5523,1518,2627,3.45,0.91,520,1593,1590,1455,639,1569,1571,1520,1350,149,1483,404,1361,510,85
622997,14,Jalisco,172403,88426,83977,9446,10150,19650,9654,9579,111416,17780,22045,10846,3242,7758,5916,46727,84846,35171,49675,1192,43824,97818,24090,1497,164314,3681,87,4181,45022,16850,172014,61853,59151,3.82,1,11374,44814,44447,33930,11820,44073,44137,42367,36823,13991,42747,16251,40379,22700,6448
624891,14,Jalisco,5368,2698,2670,228,214,452,251,232,3232,1275,262,148,59,561,180,2004,2436,876,1560,10,792,1720,2632,21,5054,145,14,148,1790,645,5353,1829,3033,2.99,0.83,474,1786,1779,1620,228,1766,1775,1741,1581,486,1652,600,1464,842,149
625093,14,Jalisco,21781,11192,10589,1250,1295,2632,1264,1197,13341,2782,1745,911,537,1111,540,6870,9475,3563,5912,180,3994,5959,10602,182,20444,819,*,497,5855,2077,21767,7205,7377,3.72,0.97,1748,5826,5792,5084,1577,5807,5816,5534,4856,1604,5522,1759,5280,2614,564
625430,14,Jalisco,1815,901,914,68,81,160,96,106,1145,344,492,231,31,165,240,827,661,167,494,*,250,51,1414,77,1797,7,0,9,573,149,1815,374,890,3.17,0.98,228,547,531,505,33,473,469,513,427,15,436,92,303,89,13
625485,14,Jalisco,4099,2097,2002,214,211,404,167,182,2575,719,500,256,86,224,139,1513,1692,503,1189,30,1482,528,2013,16,3915,115,0,66,1248,306,4096,881,1924,3.28,0.86,247,1243,1237,1135,410,1231,1230,1182,1088,94,1188,353,1086,712,118
625594,14,Jalisco,14451,7412,7039,641,695,1505,767,733,8903,2551,740,378,222,1121,371,4534,6984,2652,4332,31,2897,2485,8020,284,13761,387,3,294,4312,1308,14407,3983,6179,3.34,0.87,1093,4240,4283,3926,1345,4240,4245,4096,3771,1251,3983,1559,3723,1978,503
625810,14,Jalisco,14043,7283,6760,723,835,1626,761,749,8823,1789,1699,858,315,575,566,3878,6884,2742,4142,45,5139,2381,5881,126,13281,407,3,340,3676,1207,14030,4214,7270,3.82,1.03,991,3629,3633,3290,1127,3597,3601,3380,2975,314,3445,1039,3219,1926,363
626004,14,Jalisco,5307,2860,2447,259,291,566,280,248,3107,1058,620,336,62,413,291,2178,1968,675,1293,32,710,253,3944,214,5197,55,6,42,1634,538,5307,1458,3159,3.25,0.79,533,1619,1611,1514,181,1602,1613,1535,1413,245,1541,332,1392,464,62
626178,14,Jalisco,22083,11468,10615,1601,1863,4324,1666,1473,11332,1794,1652,837,267,1482,3124,10728,3382,1343,2039,102,2288,696,18403,667,8786,482,9788,2813,4715,1701,20994,6843,6767,4.45,1.36,1686,3306,3327,2390,707,1969,1897,1464,1067,461,1624,578,2658,333,29
626279,14,Jalisco,3638,1821,1817,176,181,356,192,180,2215,678,201,99,68,245,134,1414,1492,446,1046,10,937,281,2336,4,3521,67,*,46,1079,258,3638,715,1718,3.37,0.88,304,1061,1056,988,224,1036,1027,990,938,186,976,255,849,266,33
626363,14,Jalisco,106050,54275,51775,5272,5657,11249,5677,5589,69196,13127,8176,4117,1972,6053,2556,30841,52100,21848,30252,763,24919,64540,13093,819,98437,4417,84,3015,29112,10269,105943,35577,35689,3.64,0.98,7802,28942,28663,24298,12931,28814,28852,27567,23652,15863,27504,11400,26381,17784,5594
627757,14,Jalisco,33588,17330,16258,2127,2189,4270,2127,2069,20344,3487,9805,5079,1108,1801,1399,10272,14393,5110,9283,277,8840,6825,16344,41,32537,557,3,467,8292,2913,33572,10984,10804,4.05,1.04,2576,8191,7984,6423,2975,7770,7793,7163,6395,5164,7739,1751,7238,2524,408
628242,14,Jalisco,11386,5712,5674,566,590,1185,584,561,6945,2033,3771,1864,233,794,833,3904,5008,1633,3375,62,2840,3307,4890,140,11097,206,3,69,3560,1155,11359,3279,5191,3.19,0.97,1028,3496,3533,2288,498,3510,3474,3362,2866,144,3145,655,2900,1221,160
628401,14,Jalisco,53659,27279,26380,3573,3649,7177,3206,3121,32105,5543,2385,1164,438,2450,1884,14813,24014,9466,14548,273,17565,22274,11943,528,50612,1791,5,1174,12367,3866,53577,15882,16457,4.33,1.2,3765,12244,12090,8944,3805,12092,12173,11009,8578,4375,11270,3292,10603,4834,1186
629095,14,Jalisco,291839,145652,146187,13728,14129,29627,14586,14196,201344,28393,84925,42007,19081,12531,4361,70219,161399,70132,91267,1838,75826,170110,30237,6650,222605,28891,605,39078,86523,29643,290787,96416,118295,3.36,1.05,30494,86098,85211,46331,16546,85912,85976,81585,66093,13679,78261,39943,82312,59566,26256
634583,14,Jalisco,11303,5608,5695,606,636,1312,605,558,6594,2045,449,251,151,786,597,3276,5332,1936,3396,80,2512,1107,7049,185,10706,375,*,202,3431,1183,11300,3668,5333,3.29,1.03,1130,3332,3396,2338,330,3283,3283,3124,2683,448,2658,673,2714,1275,187
634836,14,Jalisco,7734,4057,3677,348,426,744,341,350,4598,1662,1202,611,60,458,818,2883,3204,1024,2180,59,3491,131,3923,29,7508,73,*,138,2402,815,7734,2295,4818,3.22,0.93,745,2349,2350,2254,370,2300,2296,2291,1969,441,2218,347,1802,568,67
634922,14,Jalisco,232852,111162,121690,11703,13583,27186,13085,12893,157211,15937,33625,15180,6343,10873,4720,60153,109679,44056,65623,2318,77635,132856,16279,2976,204647,14886,258,12532,59134,19965,220243,73107,80505,3.72,1.11,18318,58910,57804,41109,26824,58652,58722,54308,43778,17999,56036,17784,55174,26316,7482
638360,14,Jalisco,2924,1459,1465,181,171,323,166,137,1732,473,104,59,16,241,170,1244,961,264,697,34,1151,167,1540,8,2831,30,12,44,815,337,2921,1148,1214,3.58,1.02,260,807,743,724,96,790,791,755,586,37,725,87,662,85,16
638396,14,Jalisco,7609,3870,3739,423,470,949,447,448,4592,1012,1609,773,214,391,280,2250,3463,1310,2153,36,1965,1558,3853,32,7438,70,0,96,1980,624,7607,2125,2767,3.84,0.98,587,1963,1946,1807,762,1928,1927,1877,1741,1047,1872,538,1735,769,129
638594,14,Jalisco,72230,36502,35728,4016,4348,8393,4210,4054,46105,7429,3939,1859,715,3120,2118,18500,36414,14374,22040,286,24000,26190,19634,938,70753,836,18,529,18652,6016,72027,22037,23848,3.86,1.01,4962,18563,18335,17464,11133,18361,18391,17743,16815,2238,17893,6446,17110,9964,2518
639704,14,Jalisco,16792,8741,8051,867,983,1895,843,766,10554,2332,1853,928,296,1549,616,5137,7791,2919,4872,65,6313,2765,6738,473,16550,134,*,98,4784,1416,16742,4172,6311,3.5,0.85,1366,4760,4727,4577,3577,4731,4710,4621,4282,2392,4561,1395,4298,2233,435
640053,14,Jalisco,3791,1898,1893,215,210,402,201,202,2279,632,289,146,96,306,113,1421,1466,458,1008,17,855,910,1840,13,3505,231,0,49,1029,255,3777,873,1524,3.67,0.95,276,1014,1004,845,308,1011,1010,934,856,305,964,329,886,347,67
640182,14,Jalisco,3095,1585,1510,204,201,361,171,149,1765,512,801,383,81,239,158,1308,924,309,615,75,465,835,1789,18,2981,37,6,61,861,301,3077,983,1341,3.57,1,327,819,812,790,189,802,804,727,581,72,676,160,771,165,41
640277,14,Jalisco,28102,14301,13801,1190,1345,2986,1387,1408,17421,5134,951,444,226,1868,789,10033,12267,4413,7854,208,9283,8354,8205,253,26179,1399,16,497,8122,2240,27996,6678,11909,3.45,0.88,2470,8072,8004,7214,3104,7942,7979,7761,6837,3434,7702,2754,6688,3839,660
640659,14,Jalisco,31965,16416,15549,1648,1825,3647,1727,1768,20133,4258,1518,689,402,2290,1301,8480,16106,6735,9371,140,11704,10029,9387,462,31280,418,6,249,8824,2752,31917,8981,11707,3.62,0.88,2168,8767,8700,8400,3106,8666,8535,8442,7909,2192,8393,2752,7922,4836,1074
641217,14,Jalisco,16431,8353,8078,870,943,1831,873,870,10545,1909,935,400,455,742,775,4786,7894,3155,4739,60,4147,7831,3804,145,15359,722,4,324,3937,1237,16381,4878,5089,4.16,1.26,1065,3914,3904,3100,792,3890,3908,3586,3154,2311,3688,1006,3345,1520,241
641496,14,Jalisco,5086,2451,2635,282,256,497,257,248,3051,990,859,432,106,374,300,1783,2230,594,1636,20,797,382,3743,18,4766,167,3,144,1578,379,5086,1118,2482,3.22,0.89,521,1547,1530,1221,79,1502,1498,1460,1280,128,1344,299,1096,453,69
641578,14,Jalisco,3515,1799,1716,143,168,362,170,168,2067,781,702,367,66,306,175,1631,1135,296,839,56,722,187,2510,3,3375,104,0,33,1081,284,3515,775,1829,3.25,0.82,436,1067,1069,990,52,1020,1026,1030,907,272,967,232,677,344,40
641656,14,Jalisco,37186,19202,17984,1806,1930,4134,2076,1903,23974,4770,2932,1299,1228,1416,823,10958,17830,7481,10349,248,8452,14901,10273,369,34431,1516,44,1175,9439,3266,36813,12036,11563,3.9,1.05,2241,9393,9391,8044,1671,9376,9392,8947,7834,6002,8931,3730,8406,5738,1342
642193,14,Jalisco,87690,44173,43517,4321,4655,10081,5107,5034,57324,9000,9174,4466,2792,4406,2027,24429,43601,17376,26225,463,21232,58859,5931,272,80241,3795,63,3504,24941,7485,87678,24243,36348,3.52,1,8177,24807,24736,16795,5564,24789,24774,23100,19185,8932,23456,8648,22863,13156,3629
643658,14,Jalisco,14997,7503,7494,724,777,1619,846,780,9242,2422,510,254,157,829,565,4204,7565,2947,4618,75,2938,2202,8947,243,14476,297,8,199,4393,1283,14969,4042,5748,3.41,0.98,1433,4307,4352,3737,381,4252,4249,3877,3278,517,3818,1021,3522,1422,401
643978,14,Jalisco,38955,19835,19120,1796,2023,4035,1810,1827,24501,6525,2384,1186,842,2230,1872,12954,17897,6538,11359,109,7280,17999,12431,265,35714,2096,31,1081,11553,4114,38429,12801,15963,3.33,0.91,3460,11401,11467,10204,1341,11404,11412,10984,10064,2764,10822,3666,9724,6400,1387
644488,14,Jalisco,21245,10684,10561,1388,1387,2794,1246,1204,13165,1830,898,351,558,837,920,5796,9587,3416,6171,77,10389,4809,5507,94,20030,927,21,254,4831,1058,21003,4112,7764,4.35,1.25,1350,4807,4785,3862,855,4726,4746,3970,3788,493,4546,1033,4232,1580,225
644684,14,Jalisco,16705,8449,8256,825,818,1854,800,821,10360,2740,1239,584,325,843,877,5093,7814,3019,4795,124,3781,5636,6387,151,16203,334,0,150,4881,1547,16556,4650,6462,3.39,0.92,1281,4719,4828,4244,796,4779,4791,4436,3947,1240,4375,1286,4153,1936,420
