,Unnamed: 0,ENTIDAD,NOM_ENT,POBTOT,POBFEM,POBMAS,P_0A2,P_3A5,P_6A11,P_12A14,P_15A17,POB15_64,P_60YMAS,P_15YMAS,P_18YMAS,PNACOE,PNACOE_F,PRESOE15,PCON_DISC,P15YM_AN,P15SEC_CO,P18YM_PB,PE_INAC,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PSINDER,PDER_IMSS,PDER_SEGP,PAFIL_IPRIV,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,POBHOG,PHOGJEF_F,PHOGJEF_M,VIVTOT,TVIVHAB,PROM_OCUP,PRO_OCUP_C,VPH_1DOR,VPH_C_ELEC,VPH_AGUADV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_DRENAJ,VPH_REFRI,VPH_LAVAD,VPH_BICI,VPH_TV,VPH_PC,VPH_CEL,VPH_INTER,VPH_SPMVPI,POBFEM_%,POBMAS_%,P_0A2_%,P_3A5_%,P_6A11_%,P_12A14_%,P_15A17_%,POB15_64_%,P_60YMAS_%,PNACOE_%,PNACOE_F_%,PRESOE15_%,PCON_DISC_%,P15YM_AN_%,P15SEC_CO_%,P18YM_PB_%,PE_INAC_%,POCUPADA_%,POCUPADA_F_%,POCUPADA_M_%,PDESOCUP_%,PSINDER_%,OTRAS_DERECH,PDER_IMSS_%,PDER_SEGP_%,PAFIL_IPRIV_%,OTRAS_DERECH_%,PCATOLICA_%,PRO_CRIEVA_%,POTRAS_REL_%,PSIN_RELIG_%,HOGJEF_F_%,PHOGJEF_F_%,PHOGJEF_M_%,TVIVHAB_%,VPH_1DOR_%,VPH_C_ELEC_%,VPH_AGUADV_%,VPH_TINACO_%,VPH_CISTER_%,VPH_EXCSA_%,VPH_DRENAJ_%,VPH_REFRI_%,VPH_LAVAD_%,VPH_BICI_%,VPH_TV_%,VPH_PC_%,VPH_CEL_%,VPH_INTER_%,VPH_SPMVPI_%
10,419532,11,Guanajuato,6166934,3170480,2996454,313928,337595,656650,327519,330251,4052225,681374,4519193,4188942,557773,279349,117626,285615,238838,1319370,1535747,1828679,2943208,1193933,1749275,53931,1275190,2259062,2181882,93767,5601990,255840,5243,283625,1586531,522424,6144406,1894813,4249593,1992652,1587234,3.87,1.02,404843,1573803,1538307,1279561,453354,1526508,1531196,1464808,1277392,582048,1497382,550020,1381668,764350,240833,51.4,48.6,5.1,5.5,10.6,5.3,5.4,65.7,11.0,9.0,50.1,21.1,4.6,5.3,29.2,36.7,29.652968557795493,47.72562832681524,40.56570245799821,59.43429754200179,0.8745188451830358,20.7,2275649,36.6,35.4,1.5,36.9,90.8,4.1,0.1,4.6,32.92869789496707,30.83801753985658,69.16198246014342,79.7,20.3,79.0,77.2,64.2,22.8,76.6,76.8,73.5,64.1,29.2,75.1,27.6,69.3,38.4,12.1
11,489075,12,Guerrero,3540685,1840073,1700612,197506,207880,422140,207435,202882,2174538,443534,2491307,2288425,195093,100013,58096,213615,310327,495963,852693,1050902,1606120,677989,928131,29067,891961,506026,1744754,14282,2845506,358158,2880,316012,942043,334190,3525670,1145999,2379671,1316263,942509,3.74,1.29,425351,920890,831768,547435,285156,807068,824631,758141,430583,87178,759777,191317,715753,298180,56999,52.0,48.0,5.6,5.9,11.9,5.9,5.7,61.4,12.5,5.5,51.3,29.8,6.0,12.5,19.9,37.3,29.680753865424347,45.36184382400581,42.21284835504196,57.78715164495804,0.8209428401566363,25.2,1759036,14.3,49.3,0.4,49.7,80.4,10.1,0.1,8.9,35.4750260869196,32.50443178176063,67.49556821823937,71.6,32.3,70.0,63.2,41.6,21.7,61.3,62.6,57.6,32.7,6.6,57.7,14.5,54.4,22.7,4.3
12,547489,13,Hidalgo,3082841,1601462,1481379,134738,156486,330011,170183,167457,2023471,383675,2288217,2120760,609940,326647,172723,166965,151311,645662,874386,948956,1473904,613816,860088,28460,928550,744201,1097048,24978,2475984,301786,6785,291743,857174,264559,3075177,830295,2244882,1198017,857462,3.59,0.93,254360,847206,821517,652744,193053,781898,812005,708258,514108,192405,759456,261093,727888,332320,95701,51.9,48.1,4.4,5.1,10.7,5.5,5.4,65.6,12.4,19.8,53.6,28.3,5.4,6.6,28.2,41.2,30.781866466677975,47.80992597412582,41.64558885789034,58.35441114210966,0.9231744355287866,30.1,1122026,24.1,35.6,0.8,36.4,80.3,9.8,0.2,9.5,30.864095271205148,26.999909273514987,73.00009072648501,71.6,21.2,70.7,68.6,54.5,16.1,65.3,67.8,59.1,42.9,16.1,63.4,21.8,60.8,27.7,8.0
13,588350,14,Jalisco,8348151,4249696,4098455,384145,431927,860338,427579,427156,5507037,999085,6193111,5765955,1067778,539033,198654,386577,179014,1485201,2673525,2344552,4186717,1748352,2438365,57337,2452519,4149528,1213421,244435,7448776,396295,21564,417243,2330706,794181,8303823,2643040,5660783,2960158,2332218,3.56,0.93,573478,2305305,2296611,1797553,903638,2294184,2294972,2207380,1933460,604756,2201888,1034977,2134429,1437473,573528,50.9,49.1,4.6,5.2,10.3,5.1,5.1,66.0,12.0,12.8,50.5,18.6,4.6,2.9,24.0,46.4,28.084686058026502,50.15142874152612,41.75949795508032,58.24050204491968,0.686822746737571,29.4,1457856,49.7,14.5,2.9,17.5,89.2,4.7,0.3,5.0,34.07469667989013,31.829194817856788,68.17080518214321,78.8,19.4,77.9,77.6,60.7,30.5,77.5,77.5,74.6,65.3,20.4,74.4,35.0,72.1,48.6,19.4
14,695955,15,México,16992418,8741123,8251295,724133,834611,1682600,880723,887192,11603770,1919454,12862124,11974932,5190562,2746909,433992,756531,372454,3358430,5814269,5162516,8364273,3495702,4868571,180143,5672574,5983389,3449337,276048,13363922,1344725,61487,2163910,4568635,1463108,16943520,4947702,11995818,5403492,4569533,3.71,0.95,1416182,4543258,4439141,3552310,1763040,4403138,4440083,3913160,3308629,1186929,4308399,1851854,4049493,2561525,822048,51.4,48.6,4.3,4.9,9.9,5.2,5.2,68.3,11.3,30.5,52.9,8.4,4.5,2.9,26.1,48.6,30.381291232360223,49.22355958993005,41.79325567207096,58.20674432792904,1.0601375272194928,33.4,3725385,35.2,20.3,1.6,21.9,78.6,7.9,0.4,12.7,32.02505781267271,29.201145924813734,70.79885407518627,84.6,26.2,84.1,82.2,65.7,32.6,81.5,82.2,72.4,61.2,22.0,79.7,34.3,74.9,47.4,15.2
15,837485,16,Michoacán de Ocampo,4748846,2442505,2306341,251800,266649,527191,252684,246270,3024137,601699,3446992,3200722,433109,221958,91650,258107,242339,746453,1137384,1386671,2263194,904498,1358696,32865,1784629,1207045,1372093,44075,4221742,248750,3424,262920,1284644,410986,4728159,1378187,3349972,1717578,1285469,3.68,1.02,387594,1273522,1246400,993971,432582,1195728,1227072,1139678,952198,277661,1179222,374189,1123169,561753,149704,51.4,48.6,5.3,5.6,11.1,5.3,5.2,63.7,12.7,9.1,51.2,21.2,5.4,7.0,21.7,35.5,29.200167788132106,47.65776780295676,39.96555310768763,60.03444689231237,0.6920628716955656,37.6,1416168,25.4,28.9,0.9,29.8,88.9,5.2,0.1,5.5,31.992209514853922,29.148490987718475,70.85150901228153,74.8,22.6,74.1,72.6,57.9,25.2,69.6,71.4,66.4,55.4,16.2,68.7,21.8,65.4,32.7,8.7
16,908762,17,Morelos,1971520,1020673,950847,82809,94561,192352,98829,100192,1312593,273903,1502021,1401829,500693,269893,78624,109255,66663,392018,649809,577216,996215,432886,563329,21774,552170,616556,618457,24432,1399556,282384,3702,282418,560669,195480,1961679,631458,1330221,819501,560941,3.5,0.96,184845,556409,536178,443017,259855,543484,548632,504256,369825,101999,509829,204850,499787,307830,90825,51.8,48.2,4.2,4.8,9.8,5.0,5.1,66.6,13.9,25.4,53.9,15.7,5.5,4.4,26.1,46.4,29.277714656711574,50.53030149326408,43.45306986945589,56.54693013054411,1.1044270410647623,28.0,642889,31.3,31.4,1.2,32.6,71.0,14.3,0.2,14.3,34.86549104730242,32.18967017539567,67.81032982460434,68.4,22.6,67.9,65.4,54.1,31.7,66.3,66.9,61.5,45.1,12.4,62.2,25.0,61.0,37.6,11.1
17,937586,18,Nayarit,1235456,623178,612278,59549,66425,137618,67286,63579,793713,157395,903410,839831,252605,127449,55706,68216,40464,223665,386636,356473,601969,248278,353691,7587,273039,464297,346383,12946,1028909,98696,3862,101096,361270,118848,1226176,372932,853244,482910,361596,3.39,0.94,112514,353523,350333,242430,111446,345484,346187,322557,264678,84018,324282,125693,318700,169289,60325,50.4,49.6,4.8,5.4,11.1,5.4,5.1,64.2,12.7,20.4,50.5,22.1,5.5,4.5,24.8,46.0,28.8535569053046,48.72443858785744,41.24431656779668,58.75568343220332,0.6141052372565271,22.1,359329,37.6,28.0,1.0,29.1,83.3,8.0,0.3,8.2,32.89727904337476,30.414230909755208,69.5857690902448,74.9,23.3,73.2,72.5,50.2,23.1,71.5,71.7,66.8,54.8,17.4,67.2,26.0,66.0,35.1,12.5
18,958231,19,Nuevo León,5784442,2893492,2890950,258166,294171,554337,274774,273481,3948050,654050,4384862,4111381,1319964,661997,277369,220206,63980,1236867,2145139,1779940,2807449,1096078,1711371,54554,1072664,3596116,558212,330130,4492947,690097,5094,561584,1655256,451544,5768759,1448464,4320295,2037695,1655690,3.49,0.85,398158,1645742,1636431,237055,42436,1625769,1633334,1595180,1440214,190686,1578280,791493,1537687,1150914,490746,50.0,50.0,4.5,5.1,9.6,4.8,4.7,68.3,11.3,22.8,50.2,21.0,3.8,1.5,28.2,52.2,30.771161678170515,48.53448266920128,39.041777784743374,60.958222215256626,0.9431160343556042,18.5,888342,62.2,9.7,5.7,15.4,77.7,11.9,0.1,9.7,27.279405723344304,25.108762560543784,74.89123743945622,81.3,19.5,80.8,80.3,11.6,2.1,79.8,80.2,78.3,70.7,9.4,77.5,38.8,75.5,56.5,24.1
19,1038147,20,Oaxaca,4132148,2157305,1974843,205460,234650,467475,239389,225941,2580989,550577,2975786,2749845,293054,153413,97030,273876,351511,655367,888161,1375173,1791164,726432,1064732,34429,1215990,583455,1901352,19135,3118763,653533,3240,343027,1125892,345641,4113413,1092462,3020951,1570618,1126544,3.65,1.14,486879,1093796,1008978,672807,259744,882746,901346,789838,531102,199837,823019,228976,812319,329811,60715,52.2,47.8,5.0,5.7,11.3,5.8,5.5,62.5,13.3,7.1,52.3,33.1,6.6,11.8,22.0,32.3,33.279858320660345,43.347043716730376,40.556420294289076,59.443579705710924,0.8331986172808912,29.4,1920487,14.1,46.0,0.5,46.5,75.5,15.8,0.1,8.3,30.69930330795494,26.558529376943184,73.44147062305682,71.7,31.0,69.6,64.2,42.8,16.5,56.2,57.4,50.3,33.8,12.7,52.4,14.6,51.7,21.0,3.9
20,1110439,21,Puebla,6583278,3423163,3160115,339025,360962,718424,362293,367631,4280848,745419,4796903,4429272,660918,362543,165720,300150,334179,1034860,1829262,1947673,3145110,1295664,1849446,53008,1921945,1445433,2721081,90326,5547167,555536,10518,458039,1713381,543681,6567335,1858232,4709103,2170923,1713865,3.83,1.03,583888,1695462,1632429,1245380,724866,1569719,1625891,1275842,1002963,450879,1516667,505613,1444126,691363,213909,52.0,48.0,5.1,5.5,10.9,5.5,5.6,65.0,11.3,10.0,54.9,25.1,4.6,7.0,21.6,41.3,29.58515499421413,47.774224330189305,41.19614258324828,58.80385741675172,0.8051915778127553,29.2,2811407,22.0,41.3,1.4,42.7,84.3,8.4,0.2,7.0,31.731471283970116,28.295069461204584,71.70493053879542,78.9,26.9,78.1,75.2,57.4,33.4,72.3,74.9,58.8,46.2,20.8,69.9,23.3,66.5,31.8,9.9
21,1186222,22,Querétaro,2368467,1211647,1156820,108229,119277,237998,117959,117062,1618687,240222,1778180,1661118,686545,351721,195760,96160,61734,450739,851047,658341,1210328,515633,694695,22752,486467,1121262,587007,87908,2025357,131596,3952,197324,668487,219432,2362208,710898,1651310,826353,668771,3.53,0.91,179452,661924,651889,514035,114014,644157,648556,611057,502427,115638,622948,320239,606978,430045,183742,51.2,48.8,4.6,5.0,10.0,5.0,4.9,68.3,10.1,29.0,51.2,28.5,4.1,3.5,25.3,51.2,27.796080756033334,51.10174640389754,42.60274900688078,57.39725099311922,0.9606213639455394,20.5,674915,47.3,24.8,3.7,28.5,85.5,5.6,0.2,8.3,32.82517087093691,30.094640268765495,69.90535973123451,80.9,21.7,80.1,78.9,62.2,13.8,78.0,78.5,73.9,60.8,14.0,75.4,38.8,73.5,52.0,22.2
22,1216040,23,Quintana Roo,1857985,921206,936779,84393,95148,187011,90848,86328,1297832,131052,1379563,1293235,945101,468054,187683,67005,42224,368696,655583,459372,990307,400625,589682,16510,468580,827522,383986,33527,1016131,384207,4492,427109,575489,187270,1852928,583839,1269089,711722,575635,3.22,1.14,256330,562025,558100,520178,143258,557821,556294,500455,428937,150328,495167,213846,526202,319194,131827,49.6,50.4,4.5,5.1,10.1,4.9,4.6,69.9,7.1,50.9,49.5,19.9,3.6,3.1,26.7,50.7,24.72420390907354,53.300053552639014,40.45462669656985,59.54537330343015,0.8885970554121804,25.2,417513,44.5,20.7,1.8,22.5,54.7,20.7,0.2,23.0,32.54102163551345,31.508995492539377,68.49100450746063,80.9,36.0,79.0,78.4,73.1,20.1,78.4,78.2,70.3,60.3,21.1,69.6,30.0,73.9,44.8,18.5
23,1242809,24,San Luis Potosí,2822255,1449804,1372451,132634,147757,293502,152545,153485,1839911,361599,2093875,1940390,294725,154022,68111,143861,104794,573518,831524,877498,1338297,537185,801112,23571,490284,1116471,961896,64964,2416597,227847,2518,168957,774658,236780,2815427,776886,2038541,964366,775016,3.63,0.93,214984,761594,715405,554218,331342,646172,701951,679234,577917,233051,694961,263244,653195,344443,128861,51.4,48.6,4.7,5.2,10.4,5.4,5.4,65.2,12.8,10.4,52.3,23.1,5.1,5.0,27.4,42.9,31.092087710004943,47.419421703566826,40.1394458778582,59.8605541221418,0.8351832134233087,17.4,1026860,39.6,34.1,2.3,36.4,85.6,8.1,0.1,6.0,30.5657464326193,27.593896059105777,72.40610394089423,80.4,22.3,79.0,74.2,57.5,34.4,67.0,72.8,70.4,59.9,24.2,72.1,27.3,67.7,35.7,13.4
24,1281809,25,Sinaloa,3026943,1532128,1494815,139403,145959,305098,156444,155676,2007923,393519,2277814,2122138,312601,157829,87011,147958,80898,428089,1109176,940130,1454147,594142,860005,21547,575115,1516933,629386,41489,2372823,260384,1828,385911,854816,297340,2986877,981500,2005377,1062027,855271,3.49,0.97,258741,847989,839718,419032,51715,814824,827096,810884,657840,188691,795457,326641,787350,441062,162367,50.6,49.4,4.6,4.8,10.1,5.2,5.1,66.3,13.0,10.3,50.5,27.8,4.9,3.6,18.8,52.3,31.058728228446984,48.04011836364279,40.85845516306123,59.14154483693877,0.7118402956382066,19.0,670875,50.1,20.8,1.4,22.2,78.4,8.6,0.1,12.7,34.78409388687156,32.860409049318065,67.13959095068194,80.5,24.4,79.8,79.1,39.5,4.9,76.7,77.9,76.4,61.9,17.8,74.9,30.8,74.1,41.5,15.3
