,NOM_ZM,POBFEM_%,POBMAS_%,P_0A2_%,P_3A5_%,P_6A11_%,P_12A14_%,P_15A17_%,POB15_64_%,P_18YMAS_%,P_60YMAS_%,PNACOE_%,PNACOE_F_%,PRESOE15_%,PCON_DISC_%,P15YM_AN_%,P15SEC_CO_%,P18YM_PB_%,PE_INAC_%,POCUPADA_%,POCUPADA_F_%,POCUPADA_M_%,PDESOCUP_%,PSINDER_%,OTRAS_DERECH,PDER_IMSS_%,PDER_SEGP_%,PAFIL_IPRIV_%,OTRAS_DERECH_%,PCATOLICA_%,PRO_CRIEVA_%,POTRAS_REL_%,PSIN_RELIG_%,HOGJEF_F_%,HOGJEF_M_%,PHOGJEF_F_%,PHOGJEF_M_%,TVIVHAB_%,VPH_1DOR_%,VPH_C_ELEC_%,VPH_AGUADV_%,VPH_TINACO_%,VPH_CISTER_%,VPH_EXCSA_%,VPH_DRENAJ_%,VPH_REFRI_%,VPH_LAVAD_%,VPH_BICI_%,VPH_TV_%,VPH_PC_%,VPH_CEL_%,VPH_INTER_%,VPH_SPMVPI_%,POBHOG_%,PROM_OCUP,PRO_OCUP_C,PCDISC_MOT_%,PCDISC_VIS_%,PCDISC_LENG_%,PCDISC_AUD_%,P3YM_HLI_%,P3HLINHE_%,P3HLI_HE_%,POB_AFRO_%,VPH_1CUART_%,PHOG_IND_%
0,Acapulco,52.2,47.8,4.3,4.8,10.1,5.1,5.2,65.1,69.5,13.8,7.0,50.8,22.5,6.3,6.4,20.5,48.4,30.0,48.4,44.2,55.8,0.9,27.8,216471,34.0,24.9,0.4,25.4,72.0,12.6,0.1,14.1,39.1,60.9,37.1,62.9,68.5,39.0,98.2,91.7,60.7,22.5,93.6,94.1,88.8,57.0,7.9,88.4,27.6,86.5,45.7,10.4,99.6,3.0,1.0,53.5,43.1,14.7,19.2,1.4,0.0,1.4,9.3,14.9,3.3
1,Acayucan,52.3,47.7,4.4,4.9,10.2,5.2,5.2,66.1,70.1,13.3,6.9,53.1,27.4,5.9,9.9,18.0,40.8,29.9,49.5,42.0,58.0,0.8,38.2,36563,23.6,31.1,0.8,32.0,63.4,21.8,0.1,14.6,37.4,62.6,34.7,65.3,81.7,40.6,98.4,90.7,42.8,10.1,96.1,96.5,82.7,64.1,10.0,82.3,20.4,83.2,29.8,6.3,99.4,3.0,1.0,44.7,47.9,16.7,24.0,3.3,0.0,3.3,1.2,14.6,6.5
2,Aguascalientes,51.2,48.8,4.8,5.3,10.7,5.4,5.4,67.0,68.3,10.2,21.9,52.2,20.5,4.8,1.8,26.4,52.2,27.9,50.0,42.8,57.2,1.0,18.5,183139,60.3,13.3,2.7,16.1,88.1,5.6,0.2,5.9,31.3,68.7,28.2,71.8,84.1,21.3,99.6,99.4,74.7,44.2,99.4,99.4,95.2,87.5,23.3,96.2,49.8,94.3,65.3,29.2,99.7,3.0,0.3,48.0,42.1,12.9,18.0,0.2,0.0,0.2,1.6,1.3,0.4
3,Campeche,51.9,48.1,4.2,4.8,9.3,4.5,4.6,68.4,72.4,12.7,14.5,51.8,17.9,6.5,3.3,21.4,55.9,30.6,50.0,44.0,56.0,0.8,19.4,65501,46.9,21.3,1.0,22.3,63.8,22.4,0.2,13.3,36.0,64.0,34.0,66.0,84.0,39.2,99.1,98.9,84.2,11.5,97.9,98.1,91.5,81.5,12.6,92.0,46.1,91.5,60.9,22.5,99.7,3.0,0.0,50.7,44.8,13.0,18.8,4.5,0.0,4.4,2.3,8.9,11.8
4,Cancún,49.6,50.4,4.2,4.8,9.8,4.8,4.5,71.6,71.0,6.5,57.9,49.8,19.7,3.5,1.9,25.7,53.7,24.9,54.1,40.7,59.3,1.0,26.2,132623,54.5,12.0,2.2,14.2,55.1,20.0,0.3,23.3,32.7,67.3,31.9,68.1,84.8,40.2,98.4,97.3,93.3,25.2,98.7,98.3,91.3,77.3,18.4,89.7,40.8,94.7,61.0,26.3,99.8,3.0,1.0,39.4,50.6,17.5,17.7,6.6,0.1,6.5,2.3,11.8,16.2
5,Celaya,51.6,48.4,4.7,5.4,10.1,5.1,5.3,67.0,69.3,11.3,9.0,50.2,18.0,4.1,4.2,29.6,42.7,30.3,48.2,41.8,58.2,0.9,22.8,216606,42.9,26.8,1.5,28.2,88.9,5.0,0.1,5.8,34.7,65.3,32.8,67.2,79.2,25.3,99.3,97.8,76.8,39.0,97.4,97.6,93.4,81.2,45.8,94.8,39.1,88.0,53.5,17.2,99.8,3.5,0.8,51.0,41.0,16.0,21.1,0.2,0.0,0.2,2.1,2.6,0.5
6,Chetumal,50.7,49.3,4.1,4.8,9.9,5.0,5.0,68.9,71.1,11.0,33.4,51.1,11.4,4.8,4.1,25.2,50.1,28.7,51.4,42.0,58.0,0.9,20.8,63140,29.9,26.2,0.8,27.0,56.6,21.1,0.1,21.8,34.5,65.5,33.2,66.8,80.7,43.3,97.8,97.2,84.8,34.2,97.2,97.6,87.8,78.9,28.7,86.0,39.5,91.7,57.4,21.0,99.3,3.0,1.0,48.5,43.8,15.6,19.5,5.3,0.1,5.1,3.7,14.8,13.8
7,Chihuahua,51.1,48.9,4.0,4.7,9.2,4.7,4.7,69.1,72.5,12.3,7.6,48.8,20.8,4.3,1.1,24.4,57.8,29.6,51.1,43.7,56.3,1.0,11.1,178426,58.5,13.3,4.8,18.1,78.3,10.4,0.1,10.7,36.0,64.0,33.1,66.9,85.1,24.0,99.6,98.9,75.0,8.0,99.3,99.3,98.0,90.9,8.8,96.5,53.6,94.7,68.2,34.5,99.4,3.0,0.0,53.3,37.9,13.7,19.6,1.0,0.0,1.0,1.8,1.8,1.8
8,Chilpancingo,52.4,47.6,5.5,5.7,11.2,5.4,5.4,65.4,66.7,10.1,4.8,48.9,31.2,4.9,6.7,18.2,53.8,26.8,49.3,46.1,53.9,1.0,27.2,127364,13.4,37.3,0.5,37.9,75.1,12.8,0.2,11.7,38.1,61.9,36.1,63.9,76.7,37.1,99.2,89.3,81.8,47.5,96.7,97.8,88.0,53.2,4.8,89.3,38.0,88.5,53.9,13.1,99.2,3.5,1.0,45.5,45.3,14.6,20.4,4.5,0.2,4.3,8.6,15.0,8.2
9,Ciudad Victoria,51.6,48.4,4.2,4.7,9.8,5.0,5.0,67.6,71.2,12.8,7.7,51.6,17.0,4.3,1.8,18.8,63.0,31.0,48.6,44.6,55.4,1.2,13.6,76511,39.1,20.0,1.9,21.9,68.6,17.8,0.1,13.0,33.9,66.1,31.0,69.0,81.4,27.7,99.2,97.9,40.5,3.4,97.0,97.6,96.1,85.3,16.8,94.9,47.2,93.8,62.6,23.0,99.6,3.0,0.0,47.4,42.5,16.0,20.0,0.2,0.0,0.2,1.3,3.2,0.5
10,Coatzacoalcos,52.0,48.0,3.9,4.9,8.9,4.4,4.5,68.9,73.2,13.6,19.3,53.8,11.9,6.1,3.7,18.9,53.5,32.6,47.6,43.7,56.3,1.8,20.8,74058,42.5,20.2,0.6,20.8,56.8,26.0,0.1,16.8,36.3,63.7,34.1,65.9,75.2,38.4,99.0,96.1,55.7,8.6,98.9,98.6,92.1,82.0,7.2,91.0,37.7,92.5,56.3,18.3,99.5,3.0,0.3,46.8,48.8,13.2,19.7,1.9,0.0,1.9,2.6,12.7,4.9
11,Colima-Villa de álvarez,50.9,49.1,3.6,4.2,9.2,4.7,4.9,66.8,73.0,15.7,22.5,52.0,19.3,6.4,3.0,22.3,50.1,30.5,51.1,43.0,57.0,0.8,17.7,62533,47.3,25.3,1.8,27.1,86.9,6.1,0.1,6.5,35.3,64.7,32.7,67.3,77.7,32.0,98.8,98.7,77.2,30.7,98.7,98.9,93.2,76.0,13.6,91.7,42.2,90.1,62.6,20.2,99.1,3.0,0.5,52.3,41.5,12.8,19.6,0.9,0.0,0.8,1.9,4.5,1.5
12,Cuautla,51.6,48.4,4.4,5.0,10.3,5.2,5.3,65.9,69.8,13.3,24.6,53.0,16.5,5.6,5.0,27.6,42.8,28.3,50.8,43.2,56.8,0.8,30.2,163295,27.1,33.1,0.7,33.8,69.1,15.5,0.1,15.1,34.7,65.3,32.4,67.6,63.9,36.0,99.1,93.7,75.9,45.9,96.8,97.9,88.4,64.1,25.9,91.0,32.0,89.3,48.4,11.5,99.6,3.0,0.8,48.4,42.5,14.8,23.0,2.5,0.1,2.4,2.1,8.3,5.7
13,Cuernavaca,52.0,48.0,3.9,4.5,9.2,4.8,4.9,67.6,72.5,14.3,30.7,54.0,14.8,5.4,3.4,24.4,52.1,29.1,51.7,44.9,55.1,1.3,29.1,248421,39.0,22.4,1.8,24.2,70.1,13.8,0.2,15.6,36.4,63.6,33.8,66.2,68.9,30.1,99.4,97.0,83.4,50.1,98.4,98.8,92.8,69.3,12.0,92.1,43.8,91.3,63.8,22.2,99.5,3.0,0.6,48.8,43.0,14.3,23.7,1.7,0.0,1.6,2.2,6.4,3.4
14,Culiacán,51.1,48.9,4.6,4.9,10.1,5.1,5.1,67.7,70.0,11.1,9.3,50.7,25.2,4.2,2.6,16.8,59.8,29.4,49.7,43.0,57.0,0.7,20.2,148310,55.5,13.0,1.8,14.8,79.1,8.1,0.1,12.4,37.2,62.8,35.4,64.6,82.7,25.1,99.5,98.8,50.9,2.2,98.1,98.6,97.4,82.2,13.3,95.2,48.9,95.0,62.5,27.3,98.8,3.0,0.0,48.5,41.5,16.4,17.9,0.5,0.0,0.5,1.7,2.4,0.5
15,Córdoba,52.8,47.2,3.9,4.7,9.6,4.9,5.0,67.2,72.0,14.0,7.1,54.9,21.0,4.8,4.2,19.7,47.7,30.7,50.2,43.8,56.2,0.8,32.1,63792,44.9,17.3,1.7,19.0,85.5,9.1,0.1,5.2,37.4,62.6,34.4,65.6,79.7,35.1,99.1,95.4,71.9,14.2,97.3,98.6,86.8,66.6,7.4,91.4,35.0,88.2,54.5,15.7,99.6,3.0,0.2,44.1,44.3,16.0,24.2,1.3,0.0,1.2,3.9,11.0,3.2
16,Delicias,50.8,49.2,4.6,5.1,10.2,5.3,5.0,66.0,69.7,12.9,8.7,49.3,18.5,4.7,2.1,26.5,44.8,30.8,48.1,41.7,58.3,1.0,13.7,35557,59.1,16.4,1.8,18.2,78.4,10.6,0.1,10.8,35.6,64.4,33.5,66.5,82.1,29.9,99.5,99.4,32.2,1.8,99.3,99.4,97.4,89.9,21.8,96.2,39.1,93.7,55.8,22.4,99.8,3.0,0.0,55.1,36.4,15.6,17.8,0.7,0.0,0.7,1.1,2.0,1.1
17,Durango,51.3,48.7,4.6,5.5,11.0,5.2,5.2,66.1,68.1,11.0,7.8,50.1,28.9,5.6,1.4,29.3,51.4,29.6,47.5,43.1,56.9,1.2,25.2,105746,43.9,14.3,1.0,15.4,83.2,8.6,0.1,7.7,36.3,63.7,34.0,66.0,83.3,20.7,99.3,98.9,86.9,36.0,97.6,98.3,94.3,79.8,24.4,95.9,45.8,93.0,57.4,23.5,99.3,3.0,0.0,50.7,42.1,12.0,17.3,0.6,0.0,0.6,1.0,2.0,1.2
18,Ensenada,50.1,49.9,4.3,4.8,9.5,4.8,4.7,68.6,71.8,12.0,36.0,50.5,15.3,4.6,2.3,22.3,52.0,28.7,51.5,42.2,57.8,0.7,17.5,115442,45.9,23.8,2.3,26.0,57.1,19.4,0.1,23.0,34.0,66.0,32.2,67.8,81.8,31.1,97.5,94.8,39.4,7.4,91.9,93.9,92.1,79.8,13.8,91.1,49.3,93.7,66.3,32.4,99.3,3.0,0.0,48.2,41.4,13.1,17.6,2.6,0.1,2.5,1.8,6.7,5.4
19,Guadalajara,51.0,49.0,4.3,5.0,9.8,4.9,5.0,67.4,70.0,11.4,13.6,51.0,17.5,4.3,1.8,23.5,53.2,27.3,51.5,43.1,56.9,0.8,30.0,526110,56.7,6.2,3.8,10.0,87.6,5.3,0.1,5.8,35.0,65.0,32.9,67.1,82.5,22.0,98.8,98.6,75.1,44.5,98.7,98.7,95.4,83.7,23.3,95.5,50.8,93.3,68.8,30.8,99.5,3.0,0.6,50.6,41.2,14.6,19.7,0.6,0.0,0.5,1.9,2.0,1.1
20,Guanajuato,51.7,48.3,4.9,5.3,9.9,5.0,4.9,67.9,70.0,10.7,6.1,51.8,22.6,4.1,3.3,25.6,50.1,30.5,48.0,42.8,57.2,1.2,14.3,65269,34.3,30.5,3.0,33.6,90.9,3.2,0.1,5.6,36.3,63.7,33.6,66.4,81.9,23.8,99.3,96.1,90.5,11.7,96.6,96.8,94.0,82.5,10.0,93.9,48.7,90.0,60.6,22.0,99.6,3.0,0.0,48.3,43.6,14.9,22.5,0.1,0.0,0.1,3.3,3.5,0.2
21,Guaymas,50.1,49.9,4.6,5.1,10.1,5.1,5.0,66.5,70.2,13.3,12.6,48.3,18.2,5.3,2.3,27.6,46.8,31.3,47.4,41.2,58.8,0.8,15.8,32884,59.8,14.2,1.6,15.8,76.6,10.6,0.0,12.5,36.8,63.2,35.8,64.2,77.5,33.8,98.7,98.4,67.2,16.8,87.8,91.2,92.1,71.4,17.9,92.9,41.2,91.1,57.4,21.1,99.0,3.0,0.0,48.7,44.5,14.2,17.4,6.5,0.3,6.2,0.8,6.0,9.1
22,Hermosillo,50.1,49.9,3.8,4.7,10.0,5.1,4.9,69.0,71.3,11.2,12.3,47.5,20.4,4.4,1.4,22.1,60.2,29.3,50.3,42.2,57.8,1.0,17.8,138938,55.6,10.1,4.8,14.8,78.3,10.4,0.1,10.8,35.0,65.0,33.1,66.9,85.4,27.0,99.2,99.0,58.1,7.0,97.8,98.5,95.9,80.0,13.7,93.7,53.6,94.8,70.3,33.0,99.0,3.0,0.0,47.2,42.2,14.6,18.2,1.0,0.0,1.0,2.2,3.2,2.0
23,Hidalgo del Parral,51.7,48.3,4.6,5.2,10.2,5.0,5.0,65.6,69.9,13.5,8.9,51.6,23.4,5.4,1.8,23.4,49.7,33.5,45.1,40.9,59.1,1.1,11.6,30637,50.6,23.4,1.8,25.2,79.1,10.7,0.0,10.0,36.0,64.0,33.1,66.9,83.0,25.4,99.4,99.3,92.6,9.0,99.1,99.2,96.6,86.5,5.6,95.4,44.6,92.5,59.8,21.1,99.6,3.0,0.0,48.7,40.5,13.3,21.3,0.8,0.0,0.8,1.0,2.0,1.8
24,Juárez,50.0,50.0,4.1,5.0,10.4,5.6,5.5,68.9,69.1,8.9,27.1,50.0,14.3,4.3,1.3,29.1,46.1,28.1,51.2,41.6,58.4,0.7,18.6,165372,65.8,7.4,3.6,10.9,65.5,14.3,0.1,19.5,33.9,66.1,32.7,67.3,86.4,29.4,99.5,99.1,4.9,0.9,99.2,99.3,97.0,87.9,9.5,96.5,45.3,93.9,63.7,27.1,99.6,3.0,0.0,44.1,46.8,15.7,16.6,0.5,0.0,0.5,1.9,3.1,1.2
25,La Laguna,50.8,49.2,5.0,5.5,10.4,5.1,5.2,66.3,68.7,11.5,15.2,51.7,17.2,4.7,1.7,25.9,50.6,30.9,46.7,41.2,58.8,1.1,22.2,128891,61.2,6.7,2.3,9.0,78.7,12.0,0.1,9.0,31.9,68.1,29.3,70.7,82.5,23.6,99.6,99.4,66.3,20.8,98.4,98.7,96.2,83.4,26.5,96.7,39.9,91.8,54.7,20.6,99.6,3.0,0.0,48.7,43.5,13.8,18.3,0.1,0.0,0.1,1.2,1.5,0.2
26,La Paz,50.1,49.9,3.7,4.4,9.2,4.6,4.8,69.5,72.9,12.8,27.3,49.5,19.1,5.3,1.8,20.4,59.6,29.1,52.1,42.5,57.5,0.9,14.1,56727,45.6,17.5,1.9,19.4,78.2,9.4,0.2,11.7,34.0,66.0,31.6,68.4,78.6,27.6,98.1,97.0,89.0,28.2,97.1,98.0,94.1,74.8,12.1,92.3,54.3,95.1,69.0,33.9,99.3,3.0,0.0,47.6,45.4,12.4,17.7,1.1,0.0,1.1,2.2,5.1,2.2
27,La Piedad-Pénjamo,51.8,48.2,5.1,5.4,10.7,5.2,5.1,63.9,68.4,13.4,13.5,52.6,11.4,6.5,6.9,23.8,31.9,31.7,46.0,38.6,61.4,0.8,24.9,108900,27.5,41.0,0.7,41.7,91.0,5.3,0.0,3.6,33.4,66.6,30.7,69.3,73.8,28.1,99.3,98.0,81.7,30.9,94.5,94.8,92.6,77.5,20.7,93.7,28.5,82.5,40.2,9.6,99.6,3.0,0.5,55.3,38.7,13.1,19.5,0.2,0.0,0.1,1.3,2.9,0.3
28,León,50.8,49.2,5.0,5.5,10.6,5.3,5.4,67.2,68.0,9.6,9.6,50.3,21.5,4.4,3.5,28.4,42.1,26.9,50.6,41.7,58.3,1.0,21.4,425931,52.5,19.7,2.4,22.1,90.4,4.0,0.1,5.0,31.5,68.5,29.9,70.1,85.7,21.5,99.4,95.9,82.4,34.7,98.7,98.6,93.5,84.4,32.1,95.6,42.3,91.3,57.4,22.3,99.7,3.5,1.0,46.0,43.9,15.1,19.2,0.2,0.0,0.2,2.6,2.2,0.4
